"last_name","frequency"
"Herbst","203"
"Tetzlaff","203"
"Ghandeharizadeh","203"
"Feinberg","203"
"Champarnaud","203"
"Penttonen","203"
"Doering","203"
"Ishibashi","203"
"Kirkerud","203"
"Ramsay","203"
"Schlegelmilch","202"
"Kornyak","202"
"Pews","202"
"Biran","202"
"Schapire","202"
"Kilgour","202"
"Yurek","202"
"Soicher","202"
"Lubachevsky","202"
"Thummel","202"
"Karnin","202"
"Gihr","202"
"Bernardeschi","201"
"Kavanagh","201"
"Pelc","201"
"Rusterholz","201"
"McConalogue","201"
"Kalorkoti","201"
"Stanfel","201"
"Wynblatt","201"
"Rouquie","201"
"Taneja","201"
"Genther","201"
"Mukaidono","201"
"Schusler","201"
"Clouatre","201"
"Albarhamtoshy","201"
"Erdi","201"
"Perez","201"
"Krybus","201"
"Bahl","201"
"Morrow","201"
"Cooke","201"
"Brodie","201"
"Pfau","200"
"Kaelbling","200"
"Taubenfeld","200"
"Lamma","200"
"Domenig","200"
"Pocchiola","200"
"Norsworthy","200"
"Iwayama","200"
"Shumilov","200"
"Nannarelli","200"
"Fargier","200"
"Imataki","200"
"Hiroyama","200"
"Radivojevic","200"
"Itzigehl","200"
"Gulik","200"
"Lindenbaum","200"
"Beetstra","200"
"Sgarro","200"
"McClurg","200"
"Auyong","200"
"Otillio","200"
"Schreiter","200"
"Speek","200"
"Gimbel","200"
"Heystek","200"
"Maraist","200"
"Dredge","200"
"Mitzlaff","200"
"Hoppenstand","200"
"Rosch","200"
"Snedden","200"
"Bugrara","200"
"Hammerschmidt","200"
"Brookner","199"
"Kawashima","199"
"Fortenbacher","199"
"Sridhar","199"
"Maierhofer","199"
"Neimat","199"
"Akaboshi","199"
"Muchinsky","199"
"Michaels","199"
"Skafidas","199"
"Hitomi","199"
"Zaumen","199"
"Hofman","199"
"Tiemann","199"
"Gammage","199"
"Hettesheimer","199"
"Speckmann","199"
"Warwick","199"
"Mawatari","199"
"Curless","199"
"Merks","199"
"Munawer","199"
"Slobodova","199"
"Rassart","199"
"Servieres","199"
"Karner","199"
"McFarlin","198"
"Hiyoshi","198"
"Matzen","198"
"Parveen","198"
"Lalonde","198"
"Katiyar","198"
"Chinin","198"
"Picco","198"
"Vigier","198"
"Poupard","198"
"Ghazalie","198"
"Pashtan","198"
"Vernadat","198"
"Piveteau","198"
"Zallocco","198"
"Schiper","198"
"Bhattacharjee","198"
"Bednarek","198"
"Landherr","198"
"Stanger","198"
"Khamsi","198"
"Pelz","197"
"Mikschl","197"
"Karcich","197"
"Ranum","197"
"Kampfer","197"
"Spelt","197"
"Luca","197"
"Boyle","197"
"Guting","197"
"Miara","197"
"Ohori","197"
"Srimani","197"
"Nishimukai","197"
"Weedman","197"
"Avouris","197"
"Ciolek","197"
"Viele","197"
"Schmiedel","197"
"Szilard","197"
"Oppitz","197"
"Granlund","197"
"Baby","197"
"Gornas","197"
"Erdmenger","197"
"Merel","197"
"Braccini","197"
"Rajaraman","197"
"Weisert","197"
"Deville","197"
"Antonakopoulos","197"
"Jiang","197"
"Suomi","197"
"Jonsson","197"
"Ranta","197"
"Hartvigsen","196"
"Grospietsch","196"
"Kakkar","196"
"Llado","196"
"Brender","196"
"Merey","196"
"Quadeer","196"
"Gustavson","196"
"Simkin","196"
"Masand","196"
"Servi","196"
"Sadowski","196"
"Carrere","196"
"Setia","196"
"Meriste","196"
"Chepyzhov","196"
"Leaver","196"
"Hofstetter","196"
"Borstler","196"
"Monarch","196"
"Heuser","196"
"Rosenbaum","196"
"Swan","196"
"Gajiwala","196"
"Conia","196"
"Syang","196"
"Schaap","196"
"Papadias","196"
"Antonisse","196"
"Sichman","196"
"Michaeli","196"
"Schach","196"
"Wrigley","195"
"Vilarrasa","195"
"Ermel","195"
"Birta","195"
"Engberts","195"
"Rikino","195"
"Segond","195"
"Marrakchi","195"
"Gronowski","195"
"Rosin","195"
"Mellouli","195"
"Camurati","195"
"Serna","195"
"Hardjono","195"
"Manders","195"
"Swift","195"
"Munke","195"
"Luft","195"
"Daescu","195"
"Kumaresan","195"
"Ouhyoung","195"
"Muntz","195"
"Conde","195"
"Zumaque","195"
"Keustermans","195"
"Matheson","195"
"Bouloucos","195"
"Kalloufi","195"
"Kuhnemann","195"
"Picel","195"
"Papsdorf","195"
"Cools","195"
"Rindone","195"
"Langford","195"
"Alameldin","195"
"Melski","194"
"Salvesen","194"
"Docker","194"
"Hofting","194"
"Birge","194"
"Remmele","194"
"Schaar","194"
"Shanbhogue","194"
"Peltason","194"
"Erez","194"
"Juneja","194"
"Kobara","194"
"Stentiford","194"
"Frolund","194"
"Kusakabe","194"
"Unno","194"
"Basagni","194"
"Iivonen","194"
"Nanard","194"
"Irland","194"
"Schaad","194"
"Brobst","194"
"Hiraishi","194"
"Vickson","194"
"Tagansky","194"
"Schwaller","194"
"Kuszyk","194"
"Constantine","194"
"Fujisaki","194"
"Haumacher","194"
"Christ","193"
"Chvatal","193"
"Camarinopoulos","193"
"Morrin","193"
"Alblas","193"
"Sifakis","193"
"Sundgren","193"
"Cochrane","193"
"Crelier","193"
"Candan","193"
"Wursthorn","193"
"Serre","193"
"Bernatsky","193"
"Butner","193"
"Linnainmaa","193"
"Radhakrishnan","193"
"Colorni","193"
"Kleiser","193"
"Stassinopoulos","193"
"Hertweck","193"
"Jakobus","193"
"Rosis","193"
"Melichar","193"
"Thebaut","193"
"Gist","193"
"Melton","193"
"Worfolk","193"
"Junet","193"
"Fontan","192"
"Ertl","192"
"Simmen","192"
"Remmers","192"
"Menhoudj","192"
"Eiter","192"
"Maliniak","192"
"Thimonier","192"
"Randi","192"
"Woycyznski","192"
"Rosiles","192"
"Barbanera","192"
"Eickenmeyer","192"
"Pehl","192"
"Baaz","192"
"Kemmerer","192"
"Hutton","192"
"Kisuki","192"
"Cherinka","192"
"Bahk","192"
"Tomescu","192"
"Wossner","192"
"Zongker","192"
"Ducloy","192"
"Parascandalo","192"
"Dulin","192"
"Baer","192"
"Senzako","192"
"Heuter","192"
"Speel","192"
"Rajala","192"
"Luby","192"
"Apsitis","192"
"Heyers","192"
"Wroclawski","192"
"Parfitt","191"
"Rothenberg","191"
"Brandsma","191"
"Fairtlough","191"
"Peak","191"
"Thiran","191"
"Anick","191"
"Weiland","191"
"Salinas","191"
"Plesums","191"
"Kaminger","191"
"Byoun","191"
"Vecchi","191"
"Hoogerwoord","191"
"Roisin","191"
"Bach","191"
"Miake","191"
"Ghelli","191"
"Bahr","191"
"Larfeldt","191"
"Bruckman","191"
"Sidou","191"
"Pusterhofer","191"
"Gomatam","191"
"Haddadi","191"
"Khalil","191"
"Kilgore","191"
"Trystram","191"
"Kambil","191"
"Bodoff","191"
"Peron","191"
"Selvestrel","191"
"Mapelli","191"
"Hasham","191"
"Azumi","191"
"Noriega","191"
"Kushner","191"
"Krohm","191"
"Plessier","191"
"Furedi","191"
"Vecchio","191"
"Marquardt","191"
"Khalid","191"
"Klassen","190"
"Birnbaum","190"
"Madeira","190"
"Ashish","190"
"Cardazo","190"
"Haraldson","190"
"Hellwagner","190"
"Callaway","190"
"Hanratty","190"
"Swiss","190"
"Liesche","190"
"Seghrouchni","190"
"Riesenhuber","190"
"Staylopatis","190"
"Peyn","190"
"Suppi","190"
"Merkl","190"
"Moffat","190"
"Underwood","190"
"Salverda","190"
"Ramaiah","190"
"Ranft","190"
"Lorin","190"
"Lindqvist","190"
"Leslie","190"
"Strandh","190"
"Jervis","190"
"Steenbeek","190"
"Goodrum","190"
"Anger","190"
"Diderrich","190"
"Keohane","190"
"Munch","190"
"Vingron","190"
"Emiris","190"
"Conte","190"
"Itzfeldt","190"
"Reeken","190"
"Czap","190"
"Suri","190"
"Birsak","190"
"Jullig","190"
"Kohling","190"
"Anandan","190"
"Baezner","190"
"Gils","189"
"Molenkamp","189"
"Manderick","189"
"Smailagic","189"
"Ellozy","189"
"Picht","189"
"Valette","189"
"Chleq","189"
"Zaccaria","189"
"Bonifati","189"
"Orsini","189"
"Shackel","189"
"Przulj","189"
"Bala","189"
"Rahimi","189"
"Bellmore","189"
"Perly","189"
"Rousseau","189"
"Lorys","189"
"Baar","189"
"Siochi","189"
"Fiebach","189"
"Farrar","189"
"Huttel","189"
"Petersohn","189"
"Plump","189"
"Perfilyeva","189"
"Millington","189"
"Gargeya","189"
"Highland","189"
"Budinsky","189"
"Backhouse","189"
"Spinelli","189"
"Marshall","189"
"Uehara","189"
"Francisci","189"
"Maquelin","189"
"Leuchs","189"
"Ferretti","189"
"Hanabata","189"
"Kriebel","189"
"Litecky","189"
"Boreale","189"
"Dulay","189"
"Jahnichen","189"
"Pargas","189"
"Horswill","189"
"Laventhal","189"
"Billawala","189"
"Bultermann","189"
"Parhami","189"
"Scharstein","189"
"Lanzelotte","189"
"Acton","189"
"Bazzichi","188"
"Yoshizawa","188"
"Joslin","188"
"Delgrande","188"
"Besselaar","188"
"Zirintsis","188"
"Waymire","188"
"Kawashimo","188"
"Reutenauer","188"
"Denti","188"
"Makrucki","188"
"Rissland","188"
"Bolotov","188"
"Puppo","188"
"Luan","188"
"Bressoud","188"
"Narwekar","188"
"Mitina","188"
"Jansen","188"
"Stroustrup","188"
"Impagliazzo","188"
"Decleir","188"
"Delgrossi","188"
"Heering","188"
"Baek","188"
"Kamble","188"
"Katzenelson","188"
"Majewski","188"
"Murtha","188"
"Demos","188"
"Ressouche","188"
"Oberman","188"
"Penz","188"
"Sudkamp","188"
"Tchuente","188"
"Garnick","188"
"Begiun","188"
"Perry","188"
"Tyugu","188"
"Milicic","187"
"Billingsley","187"
"Strehl","187"
"Belinskaya","187"
"Kusalik","187"
"Versino","187"
"Famili","187"
"Hiltgen","187"
"Leivant","187"
"Yeung","187"
"Rodham","187"
"Eiron","187"
"Beznosov","187"
"Lipner","187"
"Awdeh","187"
"Kaiser","187"
"Siegrist","187"
"Bierman","187"
"Isard","187"
"Bratten","187"
"Xiaoshan","187"
"Nyanchama","187"
"Lenart","187"
"Bojadziev","187"
"Shihab","187"
"Velasco","187"
"Crooks","187"
"Pavlopoulou","187"
"Buescher","187"
"Felcyn","187"
"Bridgland","187"
"Middleton","187"
"Vanwelkenhuysen","187"
"Chachaty","187"
"Muhling","187"
"Garigliano","187"
"Godskesen","187"
"Demian","187"
"Kornatzky","187"
"Danley","187"
"Hinsberger","187"
"Preusig","187"
"Benzmuller","187"
"Eugenio","187"
"Zeidenstein","187"
"Cannard","186"
"Meszaros","186"
"Sethi","186"
"Peir","186"
"McDermid","186"
"Rosen","186"
"Berendt","186"
"Mitchem","186"
"Silva","186"
"Ratnakar","186"
"Lundstrom","186"
"Rijckaert","186"
"Gyimothy","186"
"Giveon","186"
"Hedayat","186"
"Danecki","186"
"Iacovou","186"
"Kranzdorf","186"
"Liedekerke","186"
"Erbe","186"
"Pulkowski","186"
"Walstra","186"
"Talmor","186"
"Kavvadias","186"
"Bain","186"
"Gulak","186"
"Poulakidas","186"
"Facello","186"
"Goldhammer","186"
"Vesel","186"
"Krzyzanowski","186"
"Merli","186"
"Takkinen","186"
"Koshino","186"
"Benantar","186"
"Dusink","185"
"Lorch","185"
"Rosay","185"
"Gurbaxani","185"
"Fraisse","185"
"Gerteisen","185"
"Plavsic","185"
"Riefers","185"
"Cappelli","185"
"Kakkad","185"
"Borovoy","185"
"DasSarma","185"
"Crouzet","185"
"Veevers","185"
"Decaestecker","185"
"Ranai","185"
"Pollacia","185"
"Terekhov","185"
"Brendel","185"
"Narahara","185"
"Barvinok","185"
"Kropp","185"
"Schwartzburd","185"
"Petereit","185"
"Ghalwash","185"
"Willoner","185"
"Valtorta","185"
"Openshaw","185"
"Nastansky","185"
"Lally","185"
"Zucker","185"
"Marrevee","185"
"Orlowski","185"
"Krichel","185"
"Braunschweig","185"
"Walston","185"
"Chandrasekhar","185"
"Rahier","185"
"Brattka","185"
"Muhlberg","185"
"Danlos","185"
"Erde","185"
"Schieder","185"
"Sooriamurthi","185"
"Tsukuda","185"
"Paciorek","185"
"Gruenwald","185"
"Reghbati","185"
"Kitai","185"
"Dratva","184"
"Karunanithi","184"
"Welham","184"
"Esposito","184"
"Brodal","184"
"Furudate","184"
"Honglei","184"
"Gill","184"
"Narlikar","184"
"Lorcy","184"
"Isaac","184"
"Denna","184"
"Jeansoulin","184"
"Kusakari","184"
"Schade","184"
"Szmurlo","184"
"Conti","184"
"Stamatiou","184"
"Massonet","184"
"Masaki","184"
"Ozeki","184"
"Schiettecatte","184"
"Holburn","184"
"Feldmann","184"
"Codenie","184"
"Montemayor","184"
"Dichev","184"
"Babu","184"
"Panwar","184"
"Gien","184"
"Crabtree","184"
"Kaltofen","184"
"Koblitz","184"
"Harllee","184"
"Compeau","184"
"Rosca","184"
"Hambrick","184"
"Kobuchi","184"
"Schlumberger","184"
"Heiserman","184"
"Chaudhury","184"
"Usery","184"
"Ibel","184"
"Litvinov","184"
"Heemskerk","184"
"Asrin","184"
"Rodier","184"
"Weedon","184"
"Molberg","183"
"Terlouw","183"
"Paludetto","183"
"Schaft","183"
"Fadgyas","183"
"Sankaranarayanan","183"
"Peot","183"
"Henders","183"
"Waterhouse","183"
"Cmelik","183"
"Menhardt","183"
"Rothe","183"
"Vasanthakumar","183"
"Pollock","183"
"Dehkordi","183"
"Randt","183"
"Rodite","183"
"Passino","183"
"Straney","183"
"Rettelbach","183"
"Lovengreen","183"
"Lichtman","183"
"Pietrzykowski","183"
"Wegerle","183"
"Stenning","183"
"Cappelletti","183"
"Hooghiemstra","183"
"Veeraraghavan","183"
"Reistad","183"
"Mansanne","183"
"Peac","183"
"Koyama","183"
"Zolotykh","183"
"Krone","183"
"Perl","183"
"Businaro","183"
"Birdsall","183"
"Bottner","183"
"Alpay","183"
"Klerer","183"
"Munoz","183"
"Raney","183"
"Olano","183"
"Koshiba","183"
"Debuse","183"
"Oxenboll","183"
"Waeselynck","183"
"Naudin","183"
"Hofmeyr","183"
"Luff","183"
"Bellone","183"
"Cheshire","183"
"Haldar","183"
"Stasinski","183"
"Escriba","183"
"Stavenow","183"
"Percebois","182"
"Besancenot","182"
"Suermann","182"
"Eterovic","182"
"Lammel","182"
"Ariola","182"
"Lortz","182"
"Naumovich","182"
"Murillo","182"
"Setlzner","182"
"Krogh","182"
"Buchter","182"
"Grandbois","182"
"Uhrik","182"
"Back","182"
"Kavraki","182"
"Einsfeld","182"
"Luck","182"
"Trelles","182"
"Vuskovic","182"
"Ratzlaff","182"
"Poujol","182"
"Renear","182"
"Matzat","182"
"Busillo","182"
"Poehlman","182"
"Claffy","182"
"Varman","182"
"Baez","182"
"Auria","182"
"Verhaegen","182"
"Azadmanesh","182"
"Birke","182"
"Raczkowsky","182"
"England","182"
"Zlotek","182"
"Guenter","182"
"Ushiama","182"
"Baak","182"
"Jumpertz","182"
"Spieker","182"
"Speer","182"
"Pettit","182"
"Uludag","182"
"Gluchowski","182"
"Talmon","182"
"Basawa","182"
"Bale","182"
"Koblick","182"
"Anily","182"
"Msuda","182"
"Peng","182"
"Rohrbach","182"
"Kroll","182"
"Luit","181"
"Ranon","181"
"Mayerwieser","181"
"Comellas","181"
"Iisaka","181"
"Savasere","181"
"Waschkowski","181"
"Uhrig","181"
"Markovitch","181"
"Szemeredi","181"
"Bashian","181"
"Chiodo","181"
"Gilg","181"
"Munos","181"
"Chaudhuri","181"
"Chelton","181"
"Schapiro","181"
"Giaccio","181"
"Yemenis","181"
"Fujisawa","181"
"Schwabacher","181"
"Gunderson","181"
"Fetvedt","181"
"Ratnaker","181"
"Zyda","181"
"Cronau","181"
"Schmittgen","181"
"Peroz","181"
"Angel","181"
"Spataro","181"
"Dayang","181"
"Quittner","181"
"Heusch","181"
"Swist","181"
"Harbusch","181"
"Staudhammer","181"
"Huxford","181"
"Mahmud","181"
"Dahlbom","181"
"Lichtner","181"
"Atchley","181"
"Dengi","181"
"Varley","181"
"Kroft","181"
"Nooteboom","181"
"Flasterstein","181"
"Kuzuoka","181"
"Dalphin","181"
"Reinhart","181"
"Cyne","181"
"Takanami","181"
"Broder","181"
"Asmuth","181"
"Cronan","181"
"Trachtenberg","181"
"Smeets","181"
"Demri","181"
"Vendrig","181"
"Ossenbruggen","181"
"Chorvat","180"
"Christianini","180"
"Bail","180"
"Winter","180"
"Sherertz","180"
"Bael","180"
"Ruther","180"
"Mondadori","180"
"Ligten","180"
"Sidhu","180"
"Fasbender","180"
"Fabrizio","180"
"Tsukune","180"
"Mattern","180"
"Cooman","180"
"Birrer","180"
"Terkki","180"
"Prochazka","180"
"Zizka","180"
"Bahi","180"
"Kowalchuk","180"
"Griswold","180"
"Vitiello","180"
"Binding","180"
"Ballarin","180"
"Beutelspacher","180"
"Fioravanti","180"
"Covnot","180"
"DuBourdieux","180"
"Cincotta","180"
"McAffer","180"
"Erie","180"
"Zweizig","180"
"Baalen","180"
"Cronin","180"
"Munck","180"
"Vakili","180"
"Rissanen","180"
"Erol","180"
"Makinen","180"
"Nitta","180"
"Toyoshima","180"
"Sullins","180"
"Stellhorn","180"
"Kalafatis","180"
"Bennis","180"
"Negoita","179"
"Delgrange","179"
"Chiola","179"
"Hebden","179"
"Werthner","179"
"Hockney","179"
"Deverell","179"
"Beilner","179"
"Azulay","179"
"Lupu","179"
"Yurov","179"
"Motley","179"
"Rodiger","179"
"Ulupinar","179"
"Streng","179"
"Pepe","179"
"Shokrollahi","179"
"Foong","179"
"Lieblein","179"
"Gecseg","179"
"Snyers","179"
"Prenel","179"
"Luga","179"
"Trogemann","179"
"Ozeri","179"
"Puppe","179"
"Steinauer","179"
"Wilfing","179"
"McClure","179"
"Katalagarianos","179"
"Pagter","179"
"Birch","179"
"Roccetti","179"
"Farrag","179"
"Krychniak","179"
"Klyachko","179"
"Schneeberger","179"
"Ladret","179"
"Hatcliff","179"
"Dymetman","179"
"Ramamoorthy","179"
"Marchesini","179"
"Luon","179"
"Bazelow","179"
"Kolinko","179"
"Falco","179"
"Turnbull","179"
"Broomell","179"
"Berztiss","179"
"Brickell","178"
"Levasseur","178"
"Brlek","178"
"Figueira","178"
"Restivo","178"
"Tasistro","178"
"Rathonyi","178"
"Ramsey","178"
"Ernst","178"
"Casley","178"
"Bakhtari","178"
"Sinitsyn","178"
"Chenoweth","178"
"Bamford","178"
"Jarecki","178"
"Kossowski","178"
"Samarati","178"
"Solovay","178"
"Felder","178"
"Strooper","178"
"Seuren","178"
"Demir","178"
"Binkley","178"
"Detkin","178"
"Eastman","178"
"Angot","178"
"Radwan","178"
"Ginneken","178"
"Verspoor","178"
"Botman","178"
"Benveniste","178"
"Lagarias","178"
"Capobianchi","178"
"Chartres","178"
"Murtafg","178"
"Improta","178"
"Bernini","178"
"Falby","178"
"Magliocco","178"
"Rebaine","178"
"Attimonelli","178"
"Kermarrec","178"
"Sewelson","178"
"Peres","178"
"Zeleznik","177"
"Templeman","177"
"Magalhaes","177"
"Zultner","177"
"Jayawardene","177"
"Peris","177"
"Peral","177"
"Feldhoffer","177"
"Monkewich","177"
"Merlo","177"
"Chinen","177"
"Kieras","177"
"Cairo","177"
"Thorensen","177"
"Cunliffe","177"
"Vandervoorde","177"
"Nourani","177"
"Zeilberger","177"
"Peck","177"
"Knightly","177"
"Krupka","177"
"Perri","177"
"Pouyioutas","177"
"Zhiwei","177"
"Aseltine","177"
"DuCasse","177"
"Mullainathan","177"
"Angiulli","177"
"DiGiano","177"
"Caine","177"
"Thiria","177"
"Ruemmler","177"
"Czaja","177"
"Herath","177"
"Nitsche","177"
"Undy","177"
"Trumbly","177"
"Matzke","177"
"Rando","177"
"Uchoa","177"
"Frezza","177"
"Anido","177"
"Bardell","177"
"Lieberherr","176"
"Greibach","176"
"Falck","176"
"Olivero","176"
"Halloran","176"
"Luke","176"
"Pleszkun","176"
"Miyakawa","176"
"Cullers","176"
"Rossi","176"
"Ullian","176"
"Schahn","176"
"Hasenauer","176"
"Kugler","176"
"Menyhert","176"
"Picaronny","176"
"Lukaszewicz","176"
"Reinhard","176"
"Gopalakrishnan","176"
"Pardalos","176"
"Danner","176"
"Loncour","176"
"Baca","176"
"Beerel","176"
"Baja","176"
"Armand","176"
"Jording","176"
"Sinicrope","176"
"Zwicker","176"
"Sommer","176"
"Hainaut","176"
"Selenyi","176"
"Passafiume","176"
"Egerstedt","176"
"Chappelet","176"
"Saoudi","176"
"Demizu","176"
"Heping","176"
"Coombs","176"
"Edelhoff","175"
"Denny","175"
"Porenta","175"
"Krohn","175"
"Cyre","175"
"Barreiro","175"
"Wissmann","175"
"Lienhardt","175"
"Lores","175"
"Engelmann","175"
"Milicia","175"
"Flexer","175"
"Valiente","175"
"Vesna","175"
"Shinomoto","175"
"Tsunoo","175"
"Sommen","175"
"Papastamatiou","175"
"Vidal","175"
"Chinal","175"
"Kalsbeek","175"
"Alvarado","175"
"Vural","175"
"Schurmann","175"
"Iisaku","175"
"Sigstam","175"
"Roohalamini","175"
"Skrikant","175"
"Kropatsch","175"
"Coney","175"
"Fendler","175"
"Vidya","175"
"Beausoleil","175"
"Lunn","175"
"Molenaar","175"
"Demke","175"
"Schicker","175"
"Honiden","175"
"Matteis","175"
"Bergere","175"
"Laurillard","175"
"Picci","175"
"Murtagh","175"
"Cappello","175"
"Cooley","175"
"Atrawala","175"
"Tanemo","175"
"Fiutem","174"
"Pettey","174"
"Schoegge","174"
"Assaf","174"
"Tzvieli","174"
"Gecsel","174"
"Schonegge","174"
"Oxman","174"
"Oskamp","174"
"Etalle","174"
"Syrzycki","174"
"Varker","174"
"Showalter","174"
"Itschner","174"
"Bage","174"
"Eldridge","174"
"Dolinsky","174"
"Hennings","174"
"Rubsam","174"
"Douceur","174"
"Peha","174"
"Azuma","174"
"Cannata","174"
"Schlenzig","174"
"Pintelas","174"
"Veldwijk","174"
"Boissier","174"
"Angelov","174"
"Fordan","174"
"Schauser","174"
"Bernick","174"
"Georg","174"
"Cannane","174"
"Potthoff","174"
"Choobineh","174"
"Sambasivam","174"
"Berstel","173"
"Ambroszkiewicz","173"
"Pena","173"
"Masamoto","173"
"Gadepally","173"
"Stafford","173"
"Deyuan","173"
"Huhdanpaa","173"
"Peternell","173"
"Range","173"
"Gimarc","173"
"Bratsberg","173"
"Orlowska","173"
"Denos","173"
"Flanders","173"
"Biron","173"
"Pietracaprina","173"
"Ranze","173"
"Kruskal","173"
"Melter","173"
"Comte","173"
"Gini","173"
"Beidas","173"
"Perna","173"
"Leonhardt","173"
"Lanteri","173"
"Zockler","173"
"Tischendorf","173"
"Quaggetto","173"
"Rusmann","173"
"Clemencon","173"
"Nitsch","173"
"Biros","173"
"Validov","173"
"Marchegay","173"
"Rotem","172"
"Syrotiuk","172"
"Kalefeld","172"
"Muniz","172"
"Aingworth","172"
"Bade","172"
"Beeson","172"
"Mersereau","172"
"Vieri","172"
"Heinisuo","172"
"Thombley","172"
"Nyrup","172"
"Zaiane","172"
"Vrecion","172"
"Basart","172"
"Gide","172"
"Whittlesey","172"
"McAlpine","172"
"Tokunaga","172"
"Halevi","172"
"Fandrianto","172"
"Morton","172"
"Glowinski","172"
"Ranka","172"
"Portugali","172"
"Thibadeau","172"
"Janetzko","172"
"Heydon","172"
"Zielinski","172"
"Pell","172"
"Henseler","172"
"Perz","172"
"Nergos","171"
"Rande","171"
"Hutter","171"
"Kaiserswerth","171"
"Androutsos","171"
"Litzler","171"
"Rabejac","171"
"Isaak","171"
"Plotkin","171"
"Navazio","171"
"Kenevan","171"
"Castellani","171"
"Pauthner","171"
"Serot","171"
"Roison","171"
"Rullman","171"
"Kropf","171"
"Comyn","171"
"Mungall","171"
"Gubsky","171"
"Hashii","171"
"Lodder","171"
"Frijda","171"
"Hemaspaandra","170"
"Himler","170"
"Setiz","170"
"Sessa","170"
"Penn","170"
"Akiyama","170"
"Mateescu","170"
"Sanella","170"
"Kinley","170"
"Badache","170"
"Keirsey","170"
"Yetim","170"
"Shobatake","170"
"Alencar","170"
"Schrooten","170"
"Limongiello","170"
"Marletta","170"
"Polajnar","170"
"Fontet","170"
"Spell","170"
"Staelin","170"
"Verhoeff","170"
"Lund","170"
"Sluis","170"
"Farrel","170"
"Harnett","170"
"Falster","170"
"Piazza","170"
"Morris","169"
"Casperson","169"
"Junot","169"
"Rijsenbrij","169"
"Janocha","169"
"Kolvik","169"
"Maccarone","169"
"Lueh","169"
"Yetto","169"
"Unni","169"
"Journel","169"
"Glinert","169"
"Badr","169"
"Yavatkar","169"
"Maginnis","169"
"Piancastelli","169"
"Conry","169"
"Condotta","169"
"Minakawa","169"
"Ferriere","169"
"Ebeling","169"
"Shackell","169"
"Yoshimura","169"
"Thisen","169"
"Wixon","169"
"Jeong","168"
"Sevcikova","168"
"Lampe","168"
"Theuretzbacher","168"
"Butterworth","168"
"Pargaonkar","168"
"Wallrath","168"
"Lakshmanan","168"
"Arlazarov","168"
"Gniady","168"
"Gyorkos","168"
"Bauknecht","168"
"Yamaashi","168"
"Emmerich","168"
"Gladwell","168"
"Grabner","168"
"Perko","168"
"Streit","168"
"Puoti","168"
"Montresor","168"
"Qiwen","168"
"Kushnir","168"
"Cromarty","167"
"Socorro","167"
"Schueller","167"
"Simmel","167"
"Lung","167"
"Brizzi","167"
"Nations","167"
"Fritzsche","167"
"Pesch","167"
"Nicolson","167"
"Collavizza","167"
"Murthy","167"
"Gire","167"
"Benaini","167"
"Wiegley","167"
"Ramsak","167"
"Oaver","167"
"Serdy","167"
"Thambidurai","167"
"Burnard","167"
"Wuwongse","167"
"Gips","167"
"Narahari","166"
"Marwedel","166"
"Stranks","166"
"Rattan","166"
"Erman","166"
"Cusworth","166"
"Luiz","166"
"Swiler","166"
"Erev","166"
"Kandlur","166"
"Farrow","166"
